# index,idx,pollinator,pol_ge_sp,plant_ge,plant_sp, _pos
0,53,1,ACHILIDAE1 (Ach. : Hem. ),,,"array([-0.56541095, -2.76309565])"
1,1,0,,Acer,rufinerve,"array([-0.1164353 , -2.07462624])"
2,2,0,,Adenocaulon,himalaicum,"array([-0.12344886, -2.43315122])"
3,3,0,,Aesculus,turbinata,"array([-0.14942567, -2.65879824])"
4,4,0,,Agrimonia,pilosa,"array([-0.1462946 , -2.48239974])"
5,5,0,,Ainsliaea,acerifolia,"array([-7.54234738e-04, -2.66868852e+00])"
6,6,0,,Alangium,platanifolium,"array([ 0.03495243, -2.6418573 ])"
7,7,0,,Ampelopsis,brevipedunculata,"array([-0.53708806, -2.77527824])"
8,8,0,,Anemone,flaccida,"array([-0.54934182, -2.24129265])"
9,9,0,,Angelica,polymorpha,"array([-0.13564362, -2.71222942])"
10,10,0,,Angelica,pubescens,"array([-0.16885434, -2.73391629])"
11,11,0,,Antenoron,filiforme,"array([-0.40330812, -2.48248537])"
12,12,0,,Anthriscus,aemula,"array([-0.39090413, -2.13981384])"
13,13,0,,Aruncus,dioicus,"array([-0.31695778, -2.64825271])"
14,14,0,,Aster,glehni,"array([-0.24329204, -2.55863643])"
15,15,0,,Astilbe,thunbergii,"array([-0.11014363, -2.69273383])"
16,16,0,,Aucuba,japonica,"array([ 0.12837886, -2.31807678])"
17,17,0,,Benthamida,kousa,"array([ 0.99287404, -1.94262328])"
18,18,0,,Bistorta,tenuicaulis,"array([-0.28546129, -2.35407034])"
19,19,0,,Cacalia,delphiniifolia,"array([-0.03900793, -2.67799588])"
20,20,0,,Cardiandra,alternifolia,"array([-0.33552319, -2.59445954])"
21,21,0,,Carpesium,divaricatum,"array([ 0.02053138, -3.04012147])"
22,22,0,,Castanea,crenata,"array([-0.16500442, -2.52169447])"
23,23,0,,Cirsium,japonicum,"array([ 0.04879674, -2.61075735])"
24,24,0,,Cirsium,kagamontanum,"array([-0.09585551, -2.54323175])"
25,25,0,,Clinopodium,micranthum,"array([-0.06499054, -2.70458121])"
26,26,0,,Commelina,communis,"array([-0.10920935, -2.73281232])"
27,27,0,,Corydalis,lineariloba,"array([-0.18226986, -2.38830296])"
28,28,0,,Corydalis,pallida,"array([-0.26024958, -2.44594526])"
29,29,0,,Cryptotaenia,japonica,"array([ 0.09140141, -1.089606  ])"
30,30,0,,Desmodium,podocarpum,"array([ 0.19335693, -2.40931569])"
31,31,0,,Deutzia,crenata,"array([-0.33280717, -2.51690708])"
32,32,0,,Disporum,sessile,"array([ 0.01159777, -2.69443567])"
33,33,0,,Epimedium,grandiflorum,"array([-0.27336939, -2.29544762])"
34,34,0,,Euonymus,alatus,"array([-0.51546393, -2.43974064])"
35,35,0,,Euonymus,sieboldianus,"array([-0.25362873, -2.39090786])"
36,36,0,,Geranium,nepalense,"array([-0.22974461, -2.5906251 ])"
37,37,0,,Geum,japonicum,"array([-0.28925645, -2.58475328])"
38,38,0,,Hovenia,tomentella,"array([-0.01222444, -2.60625059])"
39,39,0,,Hydrangea,hirta,"array([-0.49056522, -2.33187807])"
40,40,0,,Hydrangea,macrophylla,"array([-0.40025748, -2.66074327])"
41,41,0,,Hydrangea,paniculata,"array([-0.31597762, -2.75406202])"
42,42,0,,Impatiens,noli-tangere,"array([ 0.00422495, -2.63905916])"
43,43,0,,Impatiens,textori,"array([-0.05790381, -2.60627269])"
44,44,0,,Ixeris,dentata,"array([-0.35864766, -2.55487214])"
45,45,0,,Kalimeris,yomena,"array([-0.23360978, -2.42817423])"
46,46,0,,Lespedeza,bicolor,"array([-0.0435743, -2.6293615])"
47,47,0,,Ligustrum,obtusifolium,"array([-0.24318   , -2.52071376])"
48,48,0,,Lysimachia,clethroides,"array([ 0.04565705, -2.53922419])"
49,49,0,,Magnolia,salicifolia,"array([-0.74759741, -2.53765789])"
50,50,0,,Oxalis,griffithii,"array([-0.21394308, -2.45247527])"
51,51,0,,Patrinia,villosa,"array([-0.38553756, -2.54055358])"
52,52,0,,Persicaria,aestiva,"array([ 0.19730032, -2.35651282])"
53,53,0,,Persicaria,pubescens,"array([ 0.05206675, -2.31003872])"
54,54,0,,Persicaria,senticosa,"array([-0.18996298, -2.65203018])"
55,55,0,,Persicaria,thunbergii,"array([-0.12463866, -2.40415496])"
56,56,0,,Petasites,japonicus,"array([ 0.10460367, -2.17129452])"
57,57,0,,Phellodendron,amurense,"array([-0.25292307, -2.8575501 ])"
58,58,0,,Plantago,asiatica,"array([-0.08229676, -2.72833999])"
59,59,0,,Polygonatum,macranthum,"array([ 0.01963618, -2.61125136])"
60,60,0,,Prunus,Grayana,"array([-0.11401224, -2.16184329])"
61,61,0,,Prunus,incisa,"array([-0.46026096, -2.55303769])"
62,62,0,,Prunus,salicina,"array([-0.45276712, -2.47257477])"
63,63,0,,Rabdosia,longituba,"array([-0.08663343, -2.68020225])"
64,64,0,,Rabdosia,trichocarpa,"array([-0.06037901, -2.49413818])"
65,65,0,,Reynoutria,japonica,"array([-0.4909048 , -2.67868607])"
66,66,0,,Rhus,javanica,"array([-0.29616391, -2.68151585])"
67,67,0,,Rhus,trichocarpa,"array([-0.27477638, -2.23045987])"
68,68,0,,Rosa,multiflora,"array([-0.35974546, -2.52418499])"
69,69,0,,Rubus,illecebrosus,"array([-0.06855291, -2.66201006])"
70,70,0,,Rubus,microphyllus,"array([-0.52868026, -2.53737824])"
71,71,0,,Rubus,palmatus,"array([-0.19210224, -2.43828567])"
72,72,0,,Rubus,parvifolius,"array([-0.12548456, -2.61645355])"
73,73,0,,Salix,gracilistyla,"array([-0.73098403, -2.34264617])"
74,74,0,,Salvia,glabrescens,"array([ 0.06736733, -2.63507667])"
75,75,0,,Siegesbeckia,orientalis,"array([-0.46282972, -2.585046  ])"
76,76,0,,Spuriopimpinella,nikoensis,"array([-0.23485721, -2.70024064])"
77,77,0,,Stachyurus,praecox,"array([-0.11246622, -2.49526533])"
78,78,0,,Stenactis,annuus,"array([-0.14808824, -2.62647384])"
79,79,0,,Styrax,japonica,"array([-0.06425984, -2.52379511])"
80,80,0,,Swida,controversa,"array([-1.66230507, -2.78601579])"
81,81,0,,Symplocos,chinensis,"array([-0.4568922 , -2.37854748])"
82,82,0,,Tricyrtis,hirta,"array([ 0.03202062, -2.67216844])"
83,83,0,,Trifolium,repens,"array([-0.1043581 , -2.64404165])"
84,84,0,,Tripterospermum,japonicum,"array([-0.03608447, -2.65421319])"
85,85,0,,Viburnum,plicatum,"array([-0.40673299, -2.45206471])"
86,86,0,,Viola,grypoceras,"array([-0.21397296, -2.37553545])"
87,87,0,,Viola,kusanoana,"array([-0.29789154, -2.32086342])"
88,88,0,,Viola,vaginata,"array([-0.11753148, -2.25802547])"
89,89,0,,Viola,verecunda,"array([-0.23086994, -2.40074796])"
90,90,0,,Weigela,hortensis,"array([-0.20496239, -2.41017397])"
91,91,0,,Cornus,controversa,"array([-0.22831798, -2.30185481])"
92,92,0,,Cornus,kousa,"array([-0.08465192, -2.57329684])"
93,93,0,,Caryopteris ,divaricata,"array([-0.07602643, -2.63681567])"
94,398,1,Acteniceromorphus nipponensis (Ela. : Col. ),,,"array([-0.63223248, -2.40234299])"
95,139,1,Actina jezoensis (Str. : Dip. ),,,"array([-0.43413974, -2.21909686])"
96,28,1,Adelphocoris triannulatus (Mir. : Hem. ),,,"array([ 0.00344004, -2.41288263])"
97,47,1,AGALLIIDAE1 (Aga. : Hem. ),,,"array([-0.58904878, -2.53636672])"
98,471,1,Agelastica coerulea (Chr. : Col. ),,,"array([-0.28042435, -2.70720254])"
99,495,1,Aglaostigma neburosa (Ten. : Hym. ),,,"array([-0.48379349, -2.22687859])"
100,272,1,AGROMYZIDAE1 (Agr. : Dip. ),,,"array([-0.72822626, -2.46858724])"
101,273,1,AGROMYZIDAE5 (Agr. : Dip. ),,,"array([-0.66435208, -2.23279731])"
102,433,1,ALLECULIDAE1 (All. : Col. ),,,"array([-0.16469178, -2.57093325])"
103,189,1,Allograpta javana (Syr. : Dip. ),,,"array([-0.29935785, -2.62563198])"
104,599,1,Ammophila infesta (Sph. : Hym. ),,,"array([ 0.02692111, -2.32054556])"
105,447,1,Anaglyptus niponensis (Cer. : Col. ),,,"array([-0.3775112 , -2.62612406])"
106,437,1,Anaspis funagata (Scr. : Col. ),,,"array([-0.53878174, -2.4638196 ])"
107,592,1,Ancistrocerus melanocerus (Ves. : Hym. ),,,"array([-0.54480122, -2.3699234 ])"
108,631,1,Andrena (Andrena) benefica (And. : Hym. ),,,"array([-0.30143002, -2.22141482])"
109,632,1,Andrena (Andrena) brevihirtiscopa (And. : Hym. ),,,"array([-0.50600742, -2.54371206])"
110,633,1,Andrena (Andrena) ishiharai (And. : Hym. ),,,"array([-0.15875006, -2.60183947])"
111,634,1,Andrena (Andrena) longitibialis (And. : Hym. ),,,"array([-0.46353124, -2.62230621])"
112,635,1,Andrena (Calomelissa) tsukubana (And. : Hym. ),,,"array([-0.36604341, -2.58424891])"
113,636,1,Andrena (Chlorandrena) Knuthi (And. : Hym. ),,,"array([-0.193294  , -2.51566529])"
114,637,1,Andrena (Euandrena) stellaria (And. : Hym. ),,,"array([-0.19930353, -2.22893358])"
115,638,1,Andrena (Habromellissa) omogensis (And. : Hym. ),,,"array([-0.22238553, -3.03392287])"
116,639,1,Andrena (Hoplandera) akitsushimae (And. : Hym. ),,,"array([-0.37032407, -2.76561825])"
117,640,1,Andrena (Hoplandera) dentata (And. : Hym. ),,,"array([-0.20304287, -2.8278008 ])"
118,641,1,Andrena (Hoplandrena) miyamotoi (And. : Hym. ),,,"array([-0.85484771, -2.41392024])"
119,642,1,Andrena (Micrandrena) hikosana (And. : Hym. ),,,"array([-0.42210001, -2.34559787])"
120,643,1,Andrena (Micrandrena) kaguya (And. : Hym. ),,,"array([-0.6733449 , -2.55658257])"
121,644,1,Andrena (Micrandrena) komachi (And. : Hym. ),,,"array([-0.34091083, -2.27052861])"
122,645,1,Andrena (Micrandrena) minutula (And. : Hym. ),,,"array([-0.37506188, -2.32704738])"
123,646,1,Andrena (Micrandrena) sublevigata (And. : Hym. ),,,"array([-0.02938036, -2.28915381])"
124,647,1,Andrena (Simandrena) opacifovea opacifovea (And. : Hym. ),,,"array([-0.37031329, -2.26505363])"
125,648,1,Andrena (Simandrena) yamamotoi (And. : Hym. ),,,"array([-0.41285612, -2.37192068])"
126,649,1,Andrena (Stenomelissa) halictoides (And. : Hym. ),,,"array([-0.0411039 , -2.37925362])"
127,650,1,Andrena (Trachandrena) haemorrhoa japonibia (And. : Hym. ),,,"array([-0.06040723, -2.3990873 ])"
128,448,1,Anoploderomorpha excavata (Cer. : Col. ),,,"array([-0.39415485, -2.79492411])"
129,399,1,Anostinus daimio (Ela. : Col. ),,,"array([-0.57584597, -2.51028129])"
130,427,1,Antherophagus nigricornis (Cry. : Col. ),,,"array([-0.26479727, -2.95244599])"
131,27,1,ANTHOCORIDAE2 (Ant. : Hem. ),,,"array([ 0.0334925, -2.3544876])"
132,307,1,ANTHOMYIIDAE12 (Ant. : Dip. ),,,"array([-0.17543688, -2.25188349])"
133,308,1,ANTHOMYIIDAE14 (Ant. : Dip. ),,,"array([-0.1722441, -2.3342592])"
134,309,1,ANTHOMYIIDAE16 (Ant. : Dip. ),,,"array([ 0.19224747, -2.2990059 ])"
135,310,1,ANTHOMYIIDAE17 (Ant. : Dip. ),,,"array([-0.59320509, -2.2833265 ])"
136,311,1,ANTHOMYIIDAE20 (Ant. : Dip. ),,,"array([-0.338039  , -1.93559275])"
137,312,1,ANTHOMYIIDAE21 (Ant. : Dip. ),,,"array([-0.42623546, -2.43886343])"
138,313,1,ANTHOMYIIDAE22 (Ant. : Dip. ),,,"array([-0.27211832, -2.56029629])"
139,314,1,ANTHOMYIIDAE25 (Ant. : Dip. ),,,"array([-0.04501087, -2.46753751])"
140,315,1,ANTHOMYIIDAE27 (Ant. : Dip. ),,,"array([-9.79455638e-04, -2.19106535e+00])"
141,316,1,ANTHOMYIIDAE28 (Ant. : Dip. ),,,"array([-0.39677806, -2.43077562])"
142,317,1,ANTHOMYIIDAE29 (Ant. : Dip. ),,,"array([-0.36248586, -2.0853205 ])"
143,318,1,ANTHOMYIIDAE3 (Ant. : Dip. ),,,"array([-0.15087135, -2.24262957])"
144,319,1,ANTHOMYIIDAE31 (Ant. : Dip. ),,,"array([-0.44310926, -2.36061584])"
145,320,1,ANTHOMYIIDAE34 (Ant. : Dip. ),,,"array([-0.70635647, -2.37925808])"
146,321,1,ANTHOMYIIDAE35 (Ant. : Dip. ),,,"array([-0.48627312, -2.10846443])"
147,322,1,ANTHOMYIIDAE38 (Ant. : Dip. ),,,"array([-0.49773639, -2.28756695])"
148,323,1,ANTHOMYIIDAE4 (Ant. : Dip. ),,,"array([-0.49332053, -2.26010662])"
149,324,1,ANTHOMYIIDAE41 (Ant. : Dip. ),,,"array([-0.88215391, -2.38261499])"
150,325,1,ANTHOMYIIDAE42 (Ant. : Dip. ),,,"array([-0.60553535, -2.18790288])"
151,326,1,ANTHOMYIIDAE43 (Ant. : Dip. ),,,"array([-0.47785783, -2.16422703])"
152,327,1,ANTHOMYIIDAE44 (Ant. : Dip. ),,,"array([-0.66517686, -2.28623249])"
153,328,1,ANTHOMYIIDAE45 (Ant. : Dip. ),,,"array([-0.15624454, -2.40292706])"
154,329,1,ANTHOMYIIDAE46 (Ant. : Dip. ),,,"array([-0.48649862, -1.9804192 ])"
155,330,1,ANTHOMYIIDAE48 (Ant. : Dip. ),,,"array([-0.82194244, -2.27712256])"
156,331,1,ANTHOMYIIDAE50 (Ant. : Dip. ),,,"array([-0.30965203, -2.84856403])"
157,332,1,ANTHOMYIIDAE6 (Ant. : Dip. ),,,"array([-0.29148703, -2.81280631])"
158,333,1,ANTHOMYIIDAE7 (Ant. : Dip. ),,,"array([-0.4907147 , -1.95441795])"
159,334,1,ANTHOMYIIDAE8 (Ant. : Dip. ),,,"array([-0.38527659, -2.17510266])"
160,430,1,Anthromacra viriclissima (Lag. : Col. ),,,"array([-0.34960749, -2.31330922])"
161,489,1,APIONIDAE3 (Api. : Col. ),,,"array([-0.49029637, -2.56510624])"
162,672,1,Apis cerana (Api. : Hym. ),,,"array([-0.19534651, -2.59052701])"
163,673,1,Apis mellifera (Api. : Hym. ),,,"array([-0.22359754, -2.56650862])"
164,487,1,Apoderus jekelii (Att. : Col. ),,,"array([-0.83861528, -2.37743745])"
165,1,1,ARANEIDA17 (Ara. : Ara. ),,,"array([-0.41131926, -2.18912766])"
166,2,1,ARANEIDA18 (Ara. : Ara. ),,,"array([-0.3016265 , -2.07275816])"
167,3,1,ARANEIDA19 (Ara. : Ara. ),,,"array([-0.5302716 , -2.01246339])"
168,4,1,ARANEIDA20 (Ara. : Ara. ),,,"array([-0.29368535, -2.1457827 ])"
169,5,1,ARANEIDA21 (Ara. : Ara. ),,,"array([-0.60107083, -2.06040426])"
170,6,1,ARANEIDA27 (Ara. : Ara. ),,,"array([-0.54551112, -2.06370594])"
171,7,1,ARANEIDA28 (Ara. : Ara. ),,,"array([-0.65037135, -2.26071909])"
172,8,1,ARANEIDA34 (Ara. : Ara. ),,,"array([-0.4362473 , -1.99942092])"
173,9,1,ARANEIDA36 (Ara. : Ara. ),,,"array([-0.25671903, -1.94987872])"
174,10,1,ARANEIDA39 (Ara. : Ara. ),,,"array([-0.48579852, -2.00789979])"
175,11,1,ARANEIDA41 (Ara. : Ara. ),,,"array([-0.54804907, -2.5842308 ])"
176,12,1,ARANEIDA6 (Ara. : Ara. ),,,"array([ 0.00624893, -2.02949082])"
177,13,1,ARANEIDA8 (Ara. : Ara. ),,,"array([-0.46499281, -2.87489917])"
178,512,1,Arge nigrinodosa (Ari. : Hym. ),,,"array([ 0.05017636, -2.82164797])"
179,513,1,Arge nipponensis (Ari. : Hym. ),,,"array([-0.22670809, -2.81360142])"
180,514,1,Arge similis (Ari. : Hym. ),,,"array([-0.06006213, -2.82953037])"
181,496,1,Asiemphytus albilabris (Ten. : Hym. ),,,"array([-0.38954389, -2.60236056])"
182,497,1,Athalia japonica (Ten. : Hym. ),,,"array([-0.36166108, -2.21759334])"
183,411,1,Athemellus insulsus (Can. : Col. ),,,"array([-0.49056392, -2.78379559])"
184,582,1,AULACIDAE1 (Aul. : Hym. ),,,"array([-0.16201796, -2.428845  ])"
185,190,1,Baccha maculata (Syr. : Dip. ),,,"array([ 0.04082745, -2.4377644 ])"
186,191,1,Betasyrphus seraius (Syr. : Dip. ),,,"array([ 0.12196414, -2.60278405])"
187,449,1,Bhaphuma xenisca (Cer. : Col. ),,,"array([-0.23825446, -2.936057  ])"
188,116,1,BIBIONIDAE1 (Bib. : Dip. ),,,"array([-0.56933529, -2.56533904])"
189,117,1,BIBIONIDAE11 (Bib. : Dip. ),,,"array([-0.48496869, -2.0331508 ])"
190,118,1,BIBIONIDAE4 (Bib. : Dip. ),,,"array([-0.38515385, -1.9399159 ])"
191,119,1,BIBIONIDAE6 (Bib. : Dip. ),,,"array([-0.11085982, -2.35255606])"
192,498,1,Birka carinifrons (Ten. : Hym. ),,,"array([ 0.18460526, -2.55137995])"
193,387,1,Blitopertha orientalis (Sca. : Col. ),,,"array([-0.18419075, -2.75499244])"
194,667,1,Bombus (Bombus) hypocrita hypocrita (Api. : Hym. ),,,"array([-0.21225152, -2.60435869])"
195,668,1,Bombus (Bombus) ignitus (Api. : Hym. ),,,"array([-0.66228393, -2.75188194])"
196,669,1,Bombus (Diversobombus) diversus diversus (Api. : Hym. ),,,"array([-0.11829727, -2.59203444])"
197,670,1,Bombus (Pyrobombus) ardens (Api. : Hym. ),,,"array([-0.21938356, -2.52674458])"
198,671,1,Bombus (Thoracobombus) honshuensis (Api. : Hym. ),,,"array([-0.18228285, -2.61757552])"
199,144,1,Bombylius major (Bom. : Dip. ),,,"array([-0.30325209, -2.4199507 ])"
200,516,1,BRACONIDAE1 (Bra. : Hym. ),,,"array([ 0.12946668, -2.45342262])"
201,517,1,BRACONIDAE13 (Bra. : Hym. ),,,"array([-0.08902649, -2.83011825])"
202,518,1,BRACONIDAE15 (Bra. : Hym. ),,,"array([ 0.12529692, -2.7653294 ])"
203,519,1,BRACONIDAE16 (Bra. : Hym. ),,,"array([-0.12442394, -2.87768712])"
204,520,1,BRACONIDAE17 (Bra. : Hym. ),,,"array([-0.6277356 , -2.74352214])"
205,521,1,BRACONIDAE18 (Bra. : Hym. ),,,"array([-0.4867655 , -2.49203849])"
206,522,1,BRACONIDAE2 (Bra. : Hym. ),,,"array([ 0.06930593, -2.49320375])"
207,523,1,BRACONIDAE20 (Bra. : Hym. ),,,"array([-0.53961069, -2.63228771])"
208,524,1,BRACONIDAE25 (Bra. : Hym. ),,,"array([-0.66161522, -2.88943298])"
209,525,1,BRACONIDAE26 (Bra. : Hym. ),,,"array([-0.28681146, -1.98836889])"
210,526,1,BRACONIDAE27 (Bra. : Hym. ),,,"array([-0.11767365, -2.90706997])"
211,527,1,BRACONIDAE28 (Bra. : Hym. ),,,"array([-0.52009557, -2.56826566])"
212,528,1,BRACONIDAE29 (Bra. : Hym. ),,,"array([-0.4955726 , -2.63593865])"
213,529,1,BRACONIDAE31 (Bra. : Hym. ),,,"array([-0.70531591, -2.14222699])"
214,530,1,BRACONIDAE36 (Bra. : Hym. ),,,"array([-0.17359858, -2.46233066])"
215,531,1,BRACONIDAE38 (Bra. : Hym. ),,,"array([-0.26267336, -3.0381637 ])"
216,532,1,BRACONIDAE40 (Bra. : Hym. ),,,"array([ 0.00669197, -2.11548043])"
217,533,1,BRACONIDAE41 (Bra. : Hym. ),,,"array([-0.31029969, -1.97307138])"
218,534,1,BRACONIDAE44 (Bra. : Hym. ),,,"array([-0.64926464, -2.30883612])"
219,535,1,BRACONIDAE45 (Bra. : Hym. ),,,"array([-0.69510408, -2.42073831])"
220,536,1,BRACONIDAE5 (Bra. : Hym. ),,,"array([-0.14619082, -2.74128309])"
221,488,1,Byctiscus puberulus (Att. : Col. ),,,"array([-0.59648655, -2.11941769])"
222,420,1,Byturus affinis (Byt. : Col. ),,,"array([-0.68077632, -2.60788447])"
223,369,1,CALLIPHORIDAE10 (Cal. : Dip. ),,,"array([-0.3636499 , -2.02978902])"
224,370,1,CALLIPHORIDAE5 (Cal. : Dip. ),,,"array([-0.22139575, -2.77375331])"
225,371,1,CALLIPHORIDAE6 (Cal. : Dip. ),,,"array([-0.23898351, -2.06503337])"
226,372,1,CALLIPHORIDAE7 (Cal. : Dip. ),,,"array([-0.46359599, -2.44758994])"
227,373,1,CALLIPHORIDAE8 (Cal. : Dip. ),,,"array([-0.10748256, -2.79676281])"
228,586,1,Camponotus obscripes (For. : Hym. ),,,"array([-0.28947144, -2.18533719])"
229,284,1,CANACEIDAE1 (Can. : Dip. ),,,"array([-0.62699989, -2.46247854])"
230,285,1,CANACEIDAE2 (Can. : Dip. ),,,"array([-0.72129813, -2.40482508])"
231,21,1,Carbula humerigera (Pen. : Hem. ),,,"array([ 0.08371928, -2.52501969])"
232,423,1,Carpophilus chalybeus (Nit. : Col. ),,,"array([-0.26007528, -2.69003072])"
233,417,1,Cautires bourgeoisi (Lyc. : Col. ),,,"array([-0.44068993, -2.92766723])"
234,102,1,CECIDOMYIIDAE1 (Cec. : Dip. ),,,"array([ 0.04494134, -2.08665078])"
